"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/29/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/30/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"01/31/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","2","8.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/08/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","6","25.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/09/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/10/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/11/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/12/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/13/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/14/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/15/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/16/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/17/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","16","67.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/18/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/19/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/20/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/21/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/22/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/23/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/24/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/25/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/26/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/27/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"02/28/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","2","8.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/09/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","6","25.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/10/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/11/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/12/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/13/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/14/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/15/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/16/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/17/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/18/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/19/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/20/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/21/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/22/2021","AQS","540390020","1","0.4","ppm","5","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/23/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/24/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/25/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/26/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/27/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/28/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/29/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/30/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"03/31/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/01/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/02/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/03/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/04/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/05/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/06/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","17","71.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/07/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/08/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/09/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/10/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/11/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/12/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/13/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/14/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/15/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/16/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/17/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/18/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/19/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/20/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/21/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/22/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/23/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/24/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/25/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/26/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/27/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/28/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/29/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"04/30/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/01/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/02/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/03/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/04/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/05/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/06/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/07/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/08/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/09/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/10/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/11/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/12/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/13/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/14/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/15/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/16/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/17/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/18/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/19/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/20/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/21/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/22/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/23/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/24/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/25/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/26/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/27/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/28/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/29/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/30/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"05/31/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/01/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/02/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/03/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/04/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/05/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/06/2021","AQS","540390020","1","0.3","ppm","3","Dixie St.","18","75.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/07/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
"06/08/2021","AQS","540390020","1","0.2","ppm","2","Dixie St.","24","100.0000","42101","Carbon monoxide","093","16620","Charleston, WV","54","West Virginia","039","Kanawha","38.346258","-81.621161"
